"MODZCTA","Positive","Total","zcta_cum.perc_pos","Med_Income","Population","Race_Total","White_Total","Male_Total","Fem_Total","Median_Age","Median_Age_Male","Median_Age_Fem","Median_Income_Male","Median_Income_Fem","borough","Hisp","NH_Black","NH_White","NH_Asian","NH_Other","Bachelors","Masters","Professional","Doctorate","TotalPop","HH1pers","HH2pers","HH3pers","HH4plus","Bach_plus_prop","AvgHH"
11436,342,567,60.32,75242,20077,20077,1132,9918,10159,36.9,33.6,39.3,36028,33415,"Queens",14.8,59.7,1.5,10.4,13.6,1839,809,54,88,13735,792,1281,1427,2081,20.3,2.85952338290629
11213,972,1653,58.8,41710,66295,66295,14869,30437,35858,33.4,30.4,35.9,34870,28573,"Brooklyn",10.6,64.2,20.6,1.9,2.7,7764,3391,683,313,43266,8333,6858,4340,5496,28.1,2.27965796939306
11212,1086,1793,60.57,26239,76527,76527,5487,32439,44088,37.6,32.9,40.2,29446,26692,"Brooklyn",18.6,77.4,1.2,1.3,1.5,5545,1799,312,102,53004,14711,7270,4257,5216,14.6,1.99930056590577
11225,814,1359,59.9,55862,58882,58882,16038,26817,32065,34.8,33,36.6,36966,38310,"Brooklyn",8.3,61.1,24.7,2.6,3.3,9697,5253,1059,553,42921,8090,7440,4158,4417,38.6,2.20336029869322
11218,1163,1967,59.13,69415,74508,74508,44496,37538,36970,34.2,32.8,35.3,37927,38115,"Brooklyn",17.6,7.6,52.5,18.5,3.9,11574,7806,1355,922,48065,6522,6614,4191,7539,45.1,2.51262768438832
11226,1336,2170,61.57,52052,100277,100277,15288,45123,55154,34.7,33,36.3,37776,31838,"Brooklyn",17.1,65.2,12.1,2.9,2.7,12809,5224,1074,367,68636,11344,10005,6211,9173,28.4,2.35970380856451
11219,1961,3018,64.98,39295,90036,90036,60521,44986,45050,27.8,27.2,28.6,25199,16893,"Brooklyn",12.1,0.9,61.9,24.4,0.6,5918,2483,761,261,49091,4455,5579,3694,10702,19.2,2.84498567335244
11210,1162,1931,60.18,65900,67040,67040,20877,30595,36445,35.6,33.9,36.9,43092,35121,"Brooklyn",7,56.9,29.5,4.2,2.4,8873,4881,1160,367,42951,5380,5975,4132,6780,35.6,2.55292585440338
11230,1573,2615,60.15,49541,89075,89075,62333,42716,46359,33.8,32.7,34.8,33351,29124,"Brooklyn",10.2,6.9,66,14.1,2.8,12998,7667,1577,734,56090,9056,8304,4157,9055,41,2.43212743687034
11204,1325,2234,59.31,49785,76978,76978,44686,38466,38512,34.7,33.3,36.3,31231,24580,"Brooklyn",10.9,1.1,54.4,31.7,1.9,9241,3282,668,264,49510,4629,5968,3959,9045,27.2,2.73810431761366
10471,388,881,44.04,85707,21896,21896,15033,10378,11518,44.9,42.6,48.5,51972,43937,"Bronx",22.8,10.4,58.5,5.8,2.4,3686,3061,1310,658,15931,3390,2841,1114,1253,54.7,2.02675040707141
10470,321,617,52.03,57160,15432,15432,6572,7069,8363,40.5,39.4,41.7,43108,34063,"Bronx",21.1,37,36.2,3.5,2.2,2302,1051,102,102,11381,2146,1764,952,1214,31.3,2.20309414088216
10466,1650,2860,57.69,51477,72479,72479,8034,31842,40637,36.6,34.6,38.6,34350,31376,"Bronx",22,69.1,2.9,3,3.1,7800,3131,172,100,48057,6146,5631,4745,7182,23.3,2.54686972662842
10467,2245,3851,58.3,37015,103732,103732,23469,49745,53987,33.7,32.5,34.7,28984,25042,"Bronx",52.3,30.4,9.4,5.7,2.1,8921,2999,715,315,67420,11847,8992,6351,9542,19.2,2.36992268321899
10463,1168,2451,47.65,58551,71360,71360,32109,33641,37719,39.8,36,43.4,42652,32075,"Bronx",51.1,11.2,31.6,3.6,2.4,10705,6592,1957,1426,51158,10349,8558,4426,5349,40.4,2.16648071961509
10475,1225,2348,52.17,50832,43208,43208,7682,18358,24850,45,43.1,48.6,40735,39662,"Bronx",29,56.8,7.9,2.7,3.5,5918,2648,296,249,32233,8165,4927,2987,2680,28.3,2.00970200970201
10464,95,247,38.46,93365,4434,4434,3495,2162,2272,44.9,43.3,47.4,62325,57565,"Bronx",25.2,1.9,66.9,5.5,0.5,781,480,85,103,3399,665,642,252,334,42.6,2.13470681458003
10469,2042,3422,59.67,63652,73870,73870,13892,34385,39485,40.2,38.3,41.7,35724,32621,"Bronx",29,51.9,10.7,6.4,2,7623,4094,618,505,51384,4679,5848,4315,7608,25,2.66155902004454
10468,1591,2530,62.89,36046,78647,78647,9933,37011,41636,32.2,30.7,33.5,26847,20667,"Bronx",75.8,16.2,3,2.8,2.2,5264,1733,315,146,49291,7111,6365,5670,7192,15.1,2.49141924215962
10463,1168,2451,47.65,58551,71360,71360,32109,33641,37719,39.8,36,43.4,42652,32075,"Bronx",51.1,11.2,31.6,3.6,2.4,10705,6592,1957,1426,51158,10349,8558,4426,5349,40.4,2.16648071961509
10458,1269,2244,56.55,33932,83960,83960,14887,40415,43545,29,27.6,30.4,26270,17963,"Bronx",69.8,17.4,8.3,2.8,1.7,4879,1558,224,243,48277,7117,7111,4777,8277,14.3,2.52100285902793
10034,439,797,55.08,54716,42910,42910,16463,20361,22549,36.4,35.9,37.3,34379,26954,"Manhattan",69.7,5.4,20.1,3,1.7,6004,3191,619,615,30637,5582,4572,2339,3602,34,2.24610127368748
10033,801,1298,61.71,58614,59607,59607,24141,30216,29391,35.8,33.9,38,34619,29371,"Manhattan",68.5,4.1,23.6,2.1,1.7,9416,4445,920,941,43303,5369,5892,3383,5008,36.3,2.40860981070629
10462,1529,2839,53.86,52409,76756,76756,17796,36091,40665,36.3,34.7,37.6,35266,33396,"Bronx",47.5,24.8,11.6,12.5,3.5,8500,4083,632,345,53052,9726,8011,5195,6611,25.6,2.29418136275937
10040,614,988,62.15,47137,44571,44571,16091,20779,23792,37.4,33.9,39.8,31242,24812,"Manhattan",69.5,4.9,21,2.8,1.8,6489,3628,632,546,32545,5411,4821,2768,3181,34.7,2.22983746369198
10453,1474,2435,60.53,25275,79606,79606,6841,36246,43360,30.4,28.5,32.1,25113,19505,"Bronx",69.2,27.4,1.2,1.3,0.9,4635,1116,135,150,47498,8037,6044,5549,7636,12.7,2.46886231937211
10465,1078,2312,46.63,74796,44205,44205,26656,21403,22802,41.5,39.2,43.9,51915,39313,"Bronx",44.3,8.9,42.8,2.8,1.3,4609,2928,309,313,31019,4583,4941,2553,3917,26.3,2.36288608228086
10464,95,247,38.46,93365,4434,4434,3495,2162,2272,44.9,43.3,47.4,62325,57565,"Bronx",25.2,1.9,66.9,5.5,0.5,781,480,85,103,3399,665,642,252,334,42.6,2.13470681458003
10464,95,247,38.46,93365,4434,4434,3495,2162,2272,44.9,43.3,47.4,62325,57565,"Bronx",25.2,1.9,66.9,5.5,0.5,781,480,85,103,3399,665,642,252,334,42.6,2.13470681458003
10461,1266,2447,51.74,56612,50348,50348,24270,24497,25851,37.8,36.8,39.2,41031,35620,"Bronx",46.6,7.7,33.3,10.7,1.8,5993,2743,802,630,36161,5842,5595,3030,4460,28.1,2.32271358376922
10457,1286,2126,60.49,27420,74554,74554,11452,35086,39468,29.8,28.2,31.2,26286,18801,"Bronx",66.6,29.5,1.4,0.9,1.6,3717,1395,305,129,43627,7605,5045,5051,6933,12.7,2.459202727937
10460,1041,1788,58.22,26866,59505,59505,9370,27647,31858,31.6,29.6,33,24401,18084,"Bronx",69.5,25.3,2.6,1.5,1.1,3440,677,206,146,37276,5668,4955,4302,5518,12,2.47302255050629
10032,937,1556,60.22,50391,64264,64264,19122,32163,32101,34.7,33.6,35.9,29020,22647,"Manhattan",66.3,13.6,14.1,4.5,1.6,9297,3693,1092,926,48203,6459,6292,3575,4896,31.1,2.32551126189803
10452,1412,2244,62.92,28277,76078,76078,9592,34800,41278,31.6,29.6,33.1,26182,20322,"Bronx",68.1,27,1.9,1.3,1.6,5097,1054,212,157,45791,7646,6001,4635,7844,14.2,2.48522544591595
10456,1518,2557,59.37,27106,94218,94218,10146,43844,50374,30.9,28.7,32.7,26090,20548,"Bronx",61.5,34.3,1.2,0.8,2.1,5566,1333,198,101,56252,8552,7338,5505,9379,12.8,2.51052836810294
10472,1239,1977,62.67,30977,68796,68796,10270,33428,35368,32.1,30,33.9,25333,19958,"Bronx",64.5,23.8,2.6,6.5,2.6,3856,1111,214,27,42234,5550,5200,4002,7135,12.3,2.58125828117147
10031,807,1282,62.95,49891,60254,60254,17917,30567,29687,34.2,32.3,36.4,32008,28083,"Manhattan",51.4,23.7,17.4,3.8,3.7,8937,5040,868,768,43469,7169,6096,4290,4404,35.9,2.27000318775901
10039,328,615,53.33,39653,27726,27726,3625,11816,15910,33.7,31.6,35.1,31244,32008,"Manhattan",33.8,55.1,6.8,1.6,2.7,3212,1796,206,276,18072,4207,3297,1751,1955,30.4,2.12970561998216
10459,956,1586,60.28,27687,48351,48351,5615,23004,25347,31.3,28,34.1,26481,21782,"Bronx",67.9,28.9,1.6,0.7,0.9,3177,884,29,68,29872,4657,3611,3421,4693,13.9,2.49749725308265
10451,1059,1826,58,28921,47798,47798,5972,22334,25464,34.1,31.3,36.7,28706,21540,"Bronx",59.1,35.4,2.6,1.2,1.7,4070,1420,259,207,30576,7449,4357,3286,4031,19.5,2.20389060293887
10473,1331,2367,56.23,41638,59609,59609,22362,26916,32693,36.1,31,40.1,37901,30582,"Bronx",60.8,33.4,2.6,1.5,1.6,4862,1782,213,185,38996,6096,5458,3880,5501,18.1,2.41967996178648
10030,351,590,59.49,37232,29882,29882,5038,13233,16649,36.1,35,37.8,35279,30462,"Manhattan",25.6,57.2,10.8,1.8,4.6,4026,2013,381,190,21781,5731,3387,1720,1898,30.3,1.98311871859296
10027,654,1244,52.57,46113,64548,64548,19706,29804,34744,31,30.8,31.2,43032,33801,"Manhattan",25.4,36.8,25.1,9.5,3.2,9479,6387,1938,2046,41409,8570,7710,3813,3718,47.9,2.11251102431649
10474,223,380,58.68,25493,12127,12127,1118,6430,5697,30.2,28.3,31.9,26837,19245,"Bronx",63.4,34.9,1.2,0.1,0.4,667,148,7,25,7323,921,706,631,1230,11.6,2.62213302752294
10455,795,1337,59.46,26801,42283,42283,5221,20172,22111,30.6,27.4,34.6,24815,21275,"Bronx",71.8,24.3,1.3,1.2,1.3,2230,725,34,47,25656,4512,2968,2961,3960,11.8,2.44226095410041
10037,297,533,55.72,45041,21139,21139,2291,9399,11740,35.3,30.9,38.9,40587,42113,"Manhattan",21.4,67.8,5.9,2.5,2.4,3089,1857,501,130,14533,4842,2386,1235,1268,38.4,1.88993936902682
10024,472,1235,38.22,131668,59001,59001,49026,26607,32394,43.1,42.7,43.3,111236,70242,"Manhattan",10.9,2.9,76.8,7.2,2.2,16643,12867,6267,2277,47138,13086,9066,2677,3922,80.7,1.91078571180133
10454,719,1185,60.68,21149,38203,38203,5040,18469,19734,29.6,28,31.1,23705,19230,"Bronx",67.9,28.1,2.3,0.3,1.2,1290,371,21,36,21829,4539,2993,1903,3732,7.9,2.3666742614111
10026,428,856,50,58884,39363,39363,10410,18124,21239,35.1,35.8,34.1,50799,39955,"Manhattan",21.3,50.3,19.7,5.9,2.9,6661,4325,987,727,28584,5664,4596,2433,2765,44.4,2.14872557898823
10035,636,1111,57.25,30081,35743,35743,7246,17697,18046,36.3,35.1,37.4,31921,35185,"Manhattan",44.6,37,10.2,4.4,3.8,4343,2118,540,198,25962,6621,3627,2219,1961,27.7,1.96673135569726
10048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Manhattan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10025,875,2000,43.75,85930,92805,92805,59985,41890,50915,41.3,41.4,41.1,70602,51050,"Manhattan",23.4,9.9,54.6,8.9,3.2,20072,15509,6891,4595,70558,17874,13292,5951,4793,66.7,1.94423765211167
11357,560,1051,53.28,83951,39902,39902,27972,18957,20945,45.5,44.8,46.2,54543,38081,"Queens",15.6,0.5,59.8,22,2.1,6936,3254,864,408,29489,3527,4481,2654,3853,38.9,2.47075439200827
10029,1162,2222,52.3,34016,79597,79597,26896,36356,43241,35.1,31.6,38.1,32497,28215,"Manhattan",47.9,25.8,15.5,9.3,1.5,10072,4346,1724,1051,54309,12345,9139,4874,5332,31.7,2.10075733669927
83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11356,358,641,55.85,60493,23362,23362,8389,11624,11738,37.1,36.4,38.8,37733,31114,"Queens",40.3,1.5,26.5,29,2.7,2059,830,148,56,16190,1360,1973,1658,2462,19.1,2.70065745337448
11359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Queens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
